,song_name,artist,location_at_chart,year_of_billboard,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard,release_year
12,bad habits,ed sheeran,13.0,2022.0,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4,88,1.0,
13,thats what i want,lil nas x,14.0,2022.0,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.98100000000002,143901,4,86,1.0,
14,enemy,imagine dragons x jid,15.0,2022.0,1r9xUipOqoNwggBpENDsvJ,0.728,0.7829999999999999,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.01100000000002,173381,4,86,1.0,
15,industry baby,lil nas x & jack harlow,16.0,2022.0,27NovPIUIRrOZoCHxABJwK,0.736,0.7040000000000001,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4,85,1.0,
16,abcdefu,gayle,17.0,2022.0,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.3670000000000001,0.415,121.932,168602,4,86,1.0,
17,need to know,doja cat,18.0,2022.0,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,84,1.0,
18,wasted on you,morgan wallen,19.0,2022.0,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,84,1.0,
19,me porto bonito,bad bunny & chencho corleone,20.0,2022.0,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.7120000000000001,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4,96,1.0,
20,woman,doja cat,21.0,2022.0,6Uj1ctrBOjOas8xZXGqKk4,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.8809999999999999,107.998,172627,4,88,1.0,
21,titi me pregunto,bad bunny,22.0,2022.0,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,95,1.0,
22,running up that hill (a deal with god),kate bush,23.0,2022.0,29d0nY7TzCoi22XBqDQkiP,0.625,0.5329999999999999,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,300840,4,82,1.0,
23,we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",24.0,2022.0,52xJxFP6TqMuO4Yt0eOkMz,0.5770000000000001,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,216120,4,79,1.0,
24,late night talking,harry styles,25.0,2022.0,1qEmFfgcLObUfQm0j1W2CK,0.7140000000000001,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,91,1.0,
25,i like you (a happier song),post malone featuring doja cat,26.0,2022.0,0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4,90,1.0,
26,you proof,morgan wallen,27.0,2022.0,5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4,86,1.0,
27,bad habit,steve lacy,28.0,2022.0,5CM4UuQ9Gnd6K2YyKGPMoK,0.6859999999999999,0.507,1,-7.097,1,0.0357,0.626,7.509999999999998e-05,0.383,0.69,168.955,232115,4,90,1.0,
28,sunroof,nicky youre & dazy,29.0,2022.0,4h4QlmocP3IuwYEj2j14p8,0.768,0.7140000000000001,10,-5.11,1,0.0401,0.352,0.0,0.15,0.8420000000000001,131.44299999999998,163026,4,90,1.0,
29,one right now,post malone & the weeknd,30.0,2022.0,00Blm7zeNqgYLPtW6zg8cj,0.687,0.7809999999999999,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,193507,4,81,1.0,
30,good 4 u,olivia rodrigo,31.0,2022.0,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,88,1.0,
31,numb little bug,em beihold,32.0,2022.0,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.97399999999998,169238,4,78,1.0,
32,jimmy cooks,drake featuring 21 savage,33.0,2022.0,3F5CgOj3wFlRv51JsHbxhe,0.529,0.6729999999999999,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,90,1.0,
33,'til you can't,cody johnson,34.0,2022.0,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.08700000000005,224213,4,76,1.0,
34,fancy like,walker hayes,35.0,2022.0,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,161853,4,76,1.0,
35,the kind of love we make,luke combs,36.0,2022.0,48UKTR66uUOT9LaUvooTNx,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4,80,1.0,
36,i ain't worried,onerepublic,37.0,2022.0,4h9wh7iOZ0GGn8QVp4RAOB,0.7040000000000001,0.797,0,-5.9270000000000005,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,95,1.0,
37,break my soul,beyonce,38.0,2022.0,5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.8640000000000001,114.942,278282,4,79,1.0,
38,something in the orange,zach bryan,39.0,2022.0,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.21200000000005,228013,3,90,1.0,
39,save your tears,the weeknd & ariana grande,40.0,2022.0,5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,118.051,215627,4,90,1.0,
40,smokin out the window,silk sonic (bruno mars & anderson .paak),41.0,2022.0,3xVZYkcuWalGudeKl861wb,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,197443,4,79,1.0,
41,levitating,dua lipa,42.0,2022.0,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,4,84,1.0,
42,in a minute,lil baby,43.0,2022.0,31lopd32BkJBTSgYE16c5e,0.626,0.583,4,-6.102,0,0.334,0.0279,0.0,0.112,0.133,113.42,200471,5,73,1.0,
43,moscow mule,bad bunny,44.0,2022.0,6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.452999999999999,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4,92,1.0,
44,you right,doja cat & the weeknd,45.0,2022.0,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4,84,1.0,
45,she had me at heads carolina,cole swindell,46.0,2022.0,200x8ONbPfFzByUr3fVz46,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,206107,4,81,1.0,
46,vegas,doja cat,47.0,2022.0,0hquQWY3xvYqN4qtiquniF,0.8009999999999999,0.601,8,-7.574,0,0.255,0.0777,3.2299999999999986e-05,0.145,0.74,159.969,182907,4,88,1.0,
47,pushin p,gunna & future featuring young thug,48.0,2022.0,3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1,79,1.0,
48,buy dirt,jordan davis featuring luke bryan,49.0,2022.0,69AIpwGNLxr4qS1X5ynx60,0.586,0.5589999999999999,4,-6.725,1,0.05,0.639,0.0,0.0872,0.4370000000000001,177.945,167480,4,81,1.0,
49,i hate u,sza,50.0,2022.0,2aJnyNu4PQxQ2lyj5boiMG,0.5329999999999999,0.417,7,-8.665,0,0.148,0.514,0.0,0.114,0.376,106.534,173907,5,82,1.0,
50,boyfriend,dove cameron,51.0,2022.0,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.542999999999998,0,0.0608,0.232,0.0,0.194,0.232,179.773,153000,3,85,1.0,
51,glimpse of us,joji,52.0,2022.0,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.8909999999999999,4.78e-06,0.141,0.268,169.91400000000004,233456,3,90,1.0,
52,surface pressure,jessica darrow,53.0,2022.0,760jhRscwGbIIe1m1IIQpU,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227,4,77,1.0,
53,fall in love,bailey zimmerman,54.0,2022.0,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.96200000000002,232059,4,80,1.0,
54,love nwantiti (ah ah ah),ckay,55.0,2022.0,2Xr1dTzJee307rmrkt8c0g,0.727,0.7390000000000001,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.5329999999999999,93.005,145800,4,84,1.0,
55,super freaky girl,nicki minaj,56.0,2022.0,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.8909999999999999,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977,4,87,1.0,
56,hrs and hrs,muni long,57.0,2022.0,4R8bxjmbyHYv7PoZzV5ptn,0.5920000000000001,0.279,3,-15.717,0,0.0495,0.272,0.856,0.0588,0.813,139.071,208446,3,25,1.0,
57,sand in my boots,morgan wallen,58.0,2022.0,0uRrG2jRR5tuifsYIJHEao,0.403,0.537,3,-6.627999999999999,1,0.031,0.59,0.0,0.112,0.414,69.877,202133,4,79,1.0,
58,mamiii,becky g x karol g,59.0,2022.0,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,4,83,1.0,
59,knife talk,drake featuring 21 savage & project pat,60.0,2022.0,2BcMwX1MPV6ZHP4tUT9uq6,0.8490000000000001,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4,84,1.0,
60,aa,walker hayes,61.0,2022.0,6aIrXGmaFqPafbYgxbMUsj,0.634,0.764,4,-5.858,1,0.0297,0.00354,0.0,0.337,0.736,104.03,189560,4,65,1.0,
61,sweetest pie,megan thee stallion & dua lipa,62.0,2022.0,7mFj0LlWtEJaEigguaWqYh,0.8140000000000001,0.628,7,-7.178,1,0.221,0.1669999999999999,0.0,0.101,0.677,123.977,201334,4,78,1.0,
62,provenza,karol g,63.0,2022.0,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.6559999999999999,0.00823,0.11,0.53,111.005,210200,4,91,1.0,
63,essence,wizkid featuring justin bieber & tems,64.0,2022.0,5FG7Tl93LdH117jEKYl3Cm,0.8490000000000001,0.7070000000000001,0,-6.002000000000002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,248040,4,76,1.0,
64,all i want for christmas is you,mariah carey,65.0,2022.0,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.462999999999999,1,0.0384,0.1639999999999999,0.0,0.0708,0.35,150.273,241107,4,97,1.0,
65,bam bam,camila cabello featuring ed sheeran,66.0,2022.0,0QBzMgT7NIeoCYy3sJCof1,0.7559999999999999,0.6970000000000001,8,-6.377000000000002,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4,84,1.0,
66,5 foot 9,tyler hubbard,67.0,2022.0,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.7959999999999999,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,189780,4,80,1.0,
67,get into it (yuh),doja cat,68.0,2022.0,0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.7929999999999999,91.942,138293,4,81,1.0,
68,efecto,bad bunny,69.0,2022.0,5Eax0qFko2dh7Rl2lYs3bx,0.8009999999999999,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4,94,1.0,
69,rock and a hard place,bailey zimmerman,70.0,2022.0,4686eQ81DEswHa90bcdlC9,0.5820000000000001,0.568,1,-7.3,1,0.0275,0.5770000000000001,0.0,0.105,0.394,121.991,207541,3,85,1.0,
70,doin' this,luke combs,71.0,2022.0,4GyD3o5hWoyCuYpdlzZlRL,0.593,0.552,1,-5.837999999999999,1,0.028,0.18,1.7100000000000002e-05,0.11,0.39,115.0,254181,4,70,1.0,
71,oh my god,adele,72.0,2022.0,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,225149,4,82,1.0,
72,better days,neiked x mae muller x polo g,73.0,2022.0,6f5ExP43esnvdKPddwKXJH,0.7170000000000001,0.6709999999999999,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.6990000000000001,110.054,160657,4,81,1.0,
73,meet me at our spot,the anxiety: willow & tyler cole,74.0,2022.0,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,80,1.0,
74,fingers crossed,lauren spencer-smith,75.0,2022.0,3yMC1KsTwh0ceXdIe4QQAQ,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,175345,4,81,1.0,
75,all too well (taylor's version),taylor swift,76.0,2022.0,3nsfB1vus2qaloUdcBZvDu,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160,4,75,1.0,
76,party,bad bunny & rauw alejandro,77.0,2022.0,4tYFy8ALRjIZvnvSLw5lxN,0.8290000000000001,0.799,9,-5.388999999999999,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,4,89,1.0,
77,despues de la playa,bad bunny,78.0,2022.0,1dm6z1fWB0cErMszU25dy2,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,230400,4,87,1.0,
78,you should probably leave,chris stapleton,79.0,2022.0,2UikqkwBv7aIvlixeVXHWt,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,213493,4,79,1.0,
79,rockin' around the christmas tree,brenda lee,80.0,2022.0,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4,95,1.0,
80,broadway girls,lil durk featuring morgan wallen,81.0,2022.0,3DZ8dbKg4OTSSqGARvecYd,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,185600,4,75,1.0,
81,take my name,parmalee,82.0,2022.0,2afB4eV1KWBqLqFqME6PTh,0.5589999999999999,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,157907,4,72,1.0,
82,what happened to virgil,lil durk featuring gunna,83.0,2022.0,7ohROa13QK43JBRqfCmz4P,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,181393,4,75,1.0,
83,puffin on zootiez,future,84.0,2022.0,1qMMYpVatbRITKCfq1gasi,0.883,0.657,8,-5.747999999999998,1,0.305,0.0603,0.0,0.128,0.284,124.992,172933,4,81,1.0,
84,like i love country music,kane brown,85.0,2022.0,3j1xkzTW8owIphkWV51V9s,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.7020000000000001,124.85,234341,4,68,1.0,
85,jingle bell rock,bobby helms,86.0,2022.0,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.8059999999999999,119.705,130973,4,94,1.0,
86,ojitos lindos,bad bunny & bomba estereo,87.0,2022.0,3k3NWokhRRkEPhCzPmV8TW,0.647,0.6859999999999999,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4,94,1.0,
87,trouble with a heartbreak,jason aldean,88.0,2022.0,3HO30hRbkOLU6ZWERayfQO,0.5820000000000001,0.797,5,-4.926,1,0.0334,0.23,0.0,0.132,0.595,135.97299999999998,196027,4,68,1.0,
88,a holly jolly christmas,burl ives,89.0,2022.0,77khP2fIVhSW23NwxrRluh,0.6829999999999999,0.375,0,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.467,135533,4,89,1.0,
89,kiss me more,doja cat featuring sza,90.0,2022.0,3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.7809999999999999,110.97,208667,4,84,1.0,
90,she likes it,russell dickerson & jake scott,91.0,2022.0,6VVqPBFZIbcmv14zNfOc13,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877,163311,4,69,1.0,
91,never say never,cole swindell / lainey wilson,92.0,2022.0,5GYbkDveRD2I8M5ZJ14hWn,0.7390000000000001,0.807,0,-5.063,1,0.0652,0.0181,0.0,0.295,0.632,97.048,227853,4,73,1.0,
92,damn strait,scotty mccreery,93.0,2022.0,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.5200000000000014e-05,0.0675,0.48,144.02200000000005,230227,4,64,1.0,
93,she's all i wanna be,tate mcrae,94.0,2022.0,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,2,-5.372000000000001,0,0.0426,0.0134,7.07e-06,0.117,0.6509999999999999,160.036,206772,4,77,1.0,
94,last night lonely,jon pardi,95.0,2022.0,0k11c8vwyeNSGQex6UMa1v,0.652,0.813,6,-2.842,1,0.0268,0.00544,0.0,0.101,0.851,102.987,182161,4,70,1.0,
95,flower shops,ernest featuring morgan wallen,96.0,2022.0,0De9jFjJ4eRLl7Yww2eBw1,0.527,0.461,7,-5.908,1,0.0269,0.118,0.0,0.0831,0.227,128.153,214405,3,74,1.0,
96,to the moon!,jnr choi & sam tompkins,97.0,2022.0,5vUnjhBzRJJIAOJPde6zDx,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,152137,4,76,1.0,
97,unholy,sam smith & kim petras,98.0,2022.0,3nqQXoyQOWXiESFLlDF1hG,0.7140000000000001,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4,100,1.0,
98,one mississippi,kane brown,99.0,2022.0,4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,213719,4,65,1.0,
99,circles around this town,maren morris,100.0,2022.0,13G5xv1wUKvJYbK0wYmioN,0.591,0.8140000000000001,4,-4.9860000000000015,1,0.0468,0.015,0.0,0.117,0.815,149.9,195760,4,59,1.0,
102,blinding lights,the weeknd,3.0,2021.0,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,92,1.0,
103,mood,24kgoldn featuring iann dior,4.0,2021.0,4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4,84,1.0,
106,leave the door open,silk sonic (bruno mars & anderson .paak),7.0,2021.0,02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,5,-7.963999999999999,1,0.0324,0.182,0.0,0.0927,0.7190000000000001,148.088,242096,4,85,1.0,
107,drivers license,olivia rodrigo,8.0,2021.0,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.1369999999999999,143.875,242013,4,87,1.0,
108,montero (call me by your name),lil nas x,9.0,2021.0,1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.78099999999995,137704,4,84,1.0,
109,peaches,justin bieber featuring daniel caesar & giveon,10.0,2021.0,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4,85,1.0,
110,butter,bts,11.0,2021.0,2cYqizR4lgvp4Qu6IQ3qGN,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,4,80,1.0,
112,deja vu,olivia rodrigo,13.0,2021.0,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7000000000000005e-06,0.37,0.178,180.917,215507,4,87,1.0,
113,positions,ariana grande,14.0,2021.0,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,84,1.0,
116,without you,the kid laroi,17.0,2021.0,27OeeYzk6klgBh83TSvGMA,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4,79,1.0,
117,forever after all,luke combs,18.0,2021.0,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,80,1.0,
118,go crazy,chris brown & young thug,19.0,2021.0,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4,79,1.0,
119,astronaut in the ocean,masked wolf,20.0,2021.0,3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,132780,4,79,1.0,
120,34+35,ariana grande feat. doja cat & megan thee stallion,21.0,2021.0,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,81,1.0,
121,what you know bout love,pop smoke,22.0,2021.0,1tkg4EHVoqnhR6iFEXb60y,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,160000,4,82,1.0,
122,my ex's best friend,machine gun kelly x blackbear,23.0,2021.0,7kDUspsoYfLkWnZR7qwHZl,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4,78,1.0,
124,therefore i am,billie eilish,25.0,2021.0,54bFM56PmE4YLRnqpW6Tha,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4,75,1.0,
125,up,cardi b,26.0,2021.0,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.149999999999999e-05,0.0344,0.928,114.988,269667,4,84,1.0,
127,dakiti,bad bunny & jhay cortez,28.0,2021.0,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,84,1.0,
128,best friend,saweetie featuring doja cat,29.0,2021.0,3rPtS4nfpy7PsARctAWpzd,0.5760000000000001,0.7140000000000001,6,-5.247000000000001,1,0.0595,0.395,0.0,0.115,0.321,144.981,262231,4,79,1.0,
129,rapstar,polo g,30.0,2021.0,18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.4370000000000001,81.039,165926,4,83,1.0,
130,heartbreak anniversary,giveon,31.0,2021.0,3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,198371,3,84,1.0,
131,for the night,pop smoke featuring lil baby & dababy,32.0,2021.0,0PvFJmanyNQMseIFrU708S,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4,82,1.0,
132,calling my phone,lil tjay featuring 6lack,33.0,2021.0,3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458,4,81,1.0,
133,beautiful mistakes,maroon 5 featuring megan thee stallion,34.0,2021.0,5zFglKYiknIxks8geR8rcL,0.713,0.6759999999999999,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395,4,82,1.0,
134,holy,justin bieber featuring chance the rapper,35.0,2021.0,5u1n1kITHCxxp8twBcZxWy,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.3720000000000001,86.919,212093,4,74,1.0,
135,on me,lil baby,36.0,2021.0,4Iedi94TIaB2GGb1nMB68v,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4,78,1.0,
136,you broke me first.,tate mcrae,37.0,2021.0,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,84,1.0,
137,traitor,olivia rodrigo,38.0,2021.0,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4,87,1.0,
